event_id,name,eventtype,olympic_id,is_team_event,num_players_in_team,result_noted_in
E1     ,10000m Men                              ,ATH                 ,ATH2004,0,-1,seconds                                                                                             
E2     ,10000m Men                              ,ATH                 ,SYD2000,0,-1,seconds                                                                                             
E3     ,10000m Women                            ,ATH                 ,ATH2004,0,-1,seconds                                                                                             
E4     ,10000m Women                            ,ATH                 ,SYD2000,0,-1,seconds                                                                                             
E5     ,100m Backstroke Men                     ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E6     ,100m Backstroke Men                     ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E7     ,100m Backstroke Women                   ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E8     ,100m Backstroke Women                   ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E9     ,100m Breaststroke Men                   ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E10    ,100m Breaststroke Men                   ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E11    ,100m Breaststroke Women                 ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E12    ,100m Breaststroke Women                 ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E13    ,100m Butterfly Men                      ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E14    ,100m Butterfly Men                      ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E15    ,100m Butterfly Women                    ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E16    ,100m Butterfly Women                    ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E17    ,100m Freestyle Men                      ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E18    ,100m Freestyle Men                      ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E19    ,100m Freestyle Women                    ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E20    ,100m Freestyle Women                    ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E21    ,100m Hurdles Women                      ,ATH                 ,ATH2004,0,-1,seconds                                                                                             
E22    ,100m Hurdles Women                      ,ATH                 ,SYD2000,0,-1,seconds                                                                                             
E23    ,100m Men                                ,ATH                 ,ATH2004,0,-1,seconds                                                                                             
E24    ,100m Men                                ,ATH                 ,SYD2000,0,-1,seconds                                                                                             
E25    ,100m Women                              ,ATH                 ,ATH2004,0,-1,seconds                                                                                             
E26    ,100m Women                              ,ATH                 ,SYD2000,0,-1,seconds                                                                                             
E27    ,110m Hurdles Men                        ,ATH                 ,ATH2004,0,-1,seconds                                                                                             
E28    ,110m Hurdles Men                        ,ATH                 ,SYD2000,0,-1,seconds                                                                                             
E29    ,1500m Freestyle Men                     ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E30    ,1500m Freestyle Men                     ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E31    ,1500m Men                               ,ATH                 ,ATH2004,0,-1,seconds                                                                                             
E32    ,1500m Men                               ,ATH                 ,SYD2000,0,-1,seconds                                                                                             
E33    ,1500m Women                             ,ATH                 ,ATH2004,0,-1,seconds                                                                                             
E34    ,1500m Women                             ,ATH                 ,SYD2000,0,-1,seconds                                                                                             
E35    ,200m Backstroke Men                     ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E36    ,200m Backstroke Men                     ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E37    ,200m Backstroke Women                   ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E38    ,200m Backstroke Women                   ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E39    ,200m Breaststroke Men                   ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E40    ,200m Breaststroke Men                   ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E41    ,200m Breaststroke Women                 ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E42    ,200m Breaststroke Women                 ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E43    ,200m Butterfly Men                      ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E44    ,200m Butterfly Men                      ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E45    ,200m Butterfly Women                    ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E46    ,200m Butterfly Women                    ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E47    ,200m Freestyle Men                      ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E48    ,200m Freestyle Men                      ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E49    ,200m Freestyle Women                    ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E50    ,200m Freestyle Women                    ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E51    ,200m Individual Medley Men              ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E52    ,200m Individual Medley Men              ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E53    ,200m Individual Medley Women            ,SWI                 ,ATH2004,0,-1,seconds                                                                                             
E54    ,200m Individual Medley Women            ,SWI                 ,SYD2000,0,-1,seconds                                                                                             
E55    ,200m Men                                ,ATH                 ,ATH2004,0,-1,seconds                                                                                             
E56    ,200m Men                                ,ATH                 ,SYD2000,0,-1,seconds                                                                                             
E57    ,200m Women                              ,ATH                 ,ATH2004,0,-1,seconds                                                                                             
